task,subject_id,session,condition,accuracy,mean_rt
AF,7181,1,con,98.61111111111111,676.6666666666666
AF,7181,1,inc,95.83333333333334,682.5277777777778
AF,7182,1,con,98.61111111111111,555.625
AF,7182,1,inc,94.44444444444444,598.2361111111111
AF,7183,1,con,94.44444444444444,524.4444444444445
AF,7183,1,inc,95.83333333333334,551.75
AF,7186,1,con,94.44444444444444,609.7361111111111
AF,7186,1,inc,97.22222222222221,617.9305555555555
AF,7187,1,con,97.22222222222221,571.0972222222222
AF,7187,1,inc,97.22222222222221,582.5
AF,7188,1,con,91.66666666666666,498.0
AF,7188,1,inc,91.66666666666666,574.2083333333334
AF,7189,1,con,90.27777777777779,495.3611111111111
AF,7189,1,inc,94.44444444444444,598.7083333333334
AF,7190,1,con,93.05555555555556,568.9027777777778
AF,7190,1,inc,90.27777777777779,640.625
AF,7191,1,con,100.0,452.0
AF,7191,1,inc,98.61111111111111,501.80555555555554
AF,7192,1,con,93.05555555555556,660.7222222222222
AF,7192,1,inc,98.61111111111111,655.5416666666666
AF,7194,1,con,98.61111111111111,619.2916666666666
AF,7194,1,inc,98.61111111111111,642.3333333333334
AF,7195,1,con,94.44444444444444,576.2361111111111
AF,7195,1,inc,91.66666666666666,661.0
AF,7196,1,con,94.44444444444444,793.8194444444445
AF,7196,1,inc,94.44444444444444,857.1666666666666
AF,7197,1,con,90.27777777777779,537.7361111111111
AF,7197,1,inc,88.88888888888889,644.5972222222222
AF,7199,1,con,87.5,645.0875
AF,7199,1,inc,83.75,654.8125
AF,7200,1,con,100.0,748.9444444444445
AF,7200,1,inc,98.61111111111111,743.5416666666666
AF,7201,1,con,98.61111111111111,649.5833333333334
AF,7201,1,inc,100.0,652.5972222222222
AF,7202,1,con,97.22222222222221,515.0972222222222
AF,7202,1,inc,95.83333333333334,549.0
AF,7203,1,con,94.44444444444444,700.9444444444445
AF,7203,1,inc,98.61111111111111,725.4722222222222
AF,7204,1,con,97.22222222222221,482.2361111111111
AF,7204,1,inc,98.61111111111111,519.25
AF,7205,1,con,95.83333333333334,696.75
AF,7205,1,inc,93.05555555555556,794.2222222222222
AF,7206,1,con,98.61111111111111,602.0
AF,7206,1,inc,98.61111111111111,703.4027777777778
AF,7207,1,con,93.05555555555556,556.4305555555555
AF,7207,1,inc,95.83333333333334,639.3611111111111
AF,7208,1,con,95.83333333333334,703.2222222222222
AF,7208,1,inc,98.61111111111111,705.3472222222222
AF,7209,1,con,97.22222222222221,599.4861111111111
AF,7209,1,inc,95.83333333333334,681.4027777777778
AF,7211,1,con,94.44444444444444,567.0694444444445
AF,7211,1,inc,95.83333333333334,635.2916666666666
AF,7212,1,con,97.22222222222221,766.0138888888889
AF,7212,1,inc,97.22222222222221,855.7361111111111
AF,7213,1,con,97.22222222222221,638.6388888888889
AF,7213,1,inc,100.0,658.4722222222222
AF,7214,1,con,97.22222222222221,470.77777777777777
AF,7214,1,inc,98.61111111111111,535.0833333333334
AF,7215,1,con,87.5,528.2361111111111
AF,7215,1,inc,88.88888888888889,593.125
AF,7216,1,con,93.75,581.7125
AF,7216,1,inc,91.25,643.175
AF,7218,1,con,61.25000000000001,517.7875
AF,7218,1,inc,52.5,504.9375
AF,7219,1,con,91.66666666666666,556.8333333333334
AF,7219,1,inc,93.05555555555556,593.4722222222222
AF,7220,1,con,91.66666666666666,703.1388888888889
AF,7220,1,inc,93.05555555555556,817.1388888888889
AF,7221,1,con,91.66666666666666,566.4305555555555
AF,7221,1,inc,95.83333333333334,657.0833333333334
AF,7222,1,con,100.0,736.6527777777778
AF,7222,1,inc,100.0,680.3611111111111
AF,7223,1,con,90.27777777777779,799.2638888888889
AF,7223,1,inc,95.83333333333334,825.9861111111111
AF,7225,1,con,97.22222222222221,605.625
AF,7225,1,inc,98.61111111111111,645.2222222222222
AF,7226,1,con,86.11111111111111,495.31944444444446
AF,7226,1,inc,88.88888888888889,482.375
AF,7227,1,con,95.83333333333334,502.55555555555554
AF,7227,1,inc,97.22222222222221,548.0972222222222
AF,7229,1,con,98.61111111111111,493.84722222222223
AF,7229,1,inc,100.0,524.4861111111111
AF,7230,1,con,90.0,828.4875
AF,7230,1,inc,87.5,807.9375
AF,7231,1,con,95.83333333333334,608.6388888888889
AF,7231,1,inc,95.83333333333334,676.3472222222222
AF,7232,1,con,98.61111111111111,666.8611111111111
AF,7232,1,inc,100.0,670.3055555555555
AF,7233,1,con,95.83333333333334,619.5138888888889
AF,7233,1,inc,97.22222222222221,640.0
AF,7234,1,con,98.61111111111111,602.5555555555555
AF,7234,1,inc,100.0,637.1944444444445
AF,7235,1,con,97.22222222222221,487.3611111111111
AF,7235,1,inc,97.22222222222221,568.7777777777778
AF,7237,1,con,92.5,582.4
AF,7237,1,inc,97.5,597.3875
AF,7238,1,con,98.61111111111111,748.8888888888889
AF,7238,1,inc,93.05555555555556,709.0416666666666
AF,7239,1,con,97.22222222222221,535.9861111111111
AF,7239,1,inc,100.0,575.5972222222222
AF,7240,nan,con,86.11111111111111,446.9861111111111
AF,7240,nan,inc,98.61111111111111,504.2916666666667
AF,7241,1,con,97.22222222222221,528.9444444444445
AF,7241,1,inc,98.61111111111111,575.6805555555555
AF,7242,1,con,87.5,622.4166666666666
AF,7242,1,inc,93.05555555555556,667.9166666666666
AF,7243,1,con,98.61111111111111,734.5833333333334
AF,7243,1,inc,95.83333333333334,740.9722222222222
AF,7246,nan,con,98.61111111111111,938.7916666666666
AF,7246,nan,inc,97.22222222222221,931.8333333333334
AF,7248,1,con,91.66666666666666,548.7916666666666
AF,7248,1,inc,95.83333333333334,597.5972222222222
AF,7249,1,con,94.44444444444444,508.2083333333333
AF,7249,1,inc,95.83333333333334,606.1527777777778
AF,7250,1,con,90.27777777777779,727.9166666666666
AF,7250,1,inc,93.05555555555556,755.3611111111111
AF,7251,1,con,91.66666666666666,445.6111111111111
AF,7251,1,inc,98.61111111111111,514.625
AF,7252,1,con,93.05555555555556,586.5555555555555
AF,7252,1,inc,98.61111111111111,564.1666666666666
AF,7254,1,con,100.0,620.3472222222222
AF,7254,1,inc,97.22222222222221,612.5972222222222
AF,7255,1,con,98.61111111111111,634.9444444444445
AF,7255,1,inc,95.83333333333334,691.2222222222222
AF,7700,1,con,98.61111111111111,976.1111111111111
AF,7700,1,inc,93.05555555555556,930.4722222222222
AF,7701,1,con,83.33333333333334,596.5138888888889
AF,7701,1,inc,90.27777777777779,613.5694444444445
AF,7702,1,con,97.22222222222221,667.0138888888889
AF,7702,1,inc,94.44444444444444,684.5555555555555
AF,7703,1,con,92.5,669.625
AF,7703,1,inc,85.0,660.0375
AF,7704,nan,con,95.83333333333334,680.0138888888889
AF,7704,nan,inc,98.61111111111111,708.5555555555555
AF,7705,1,con,94.44444444444444,574.5
AF,7705,1,inc,97.22222222222221,628.0
AF,7706,1,con,81.94444444444444,618.2916666666666
AF,7706,1,inc,90.27777777777779,640.1527777777778
AF,7707,1,con,83.75,518.675
AF,7707,1,inc,58.75,574.1
AF,7708,1,con,91.66666666666666,597.7777777777778
AF,7708,1,inc,90.27777777777779,618.0555555555555
AF,7709,1,con,96.25,688.2
AF,7709,1,inc,91.25,718.825
AF,7710,1,con,77.77777777777779,869.1527777777778
AF,7710,1,inc,90.27777777777779,897.9166666666666
AF,7712,1,con,97.22222222222221,760.5138888888889
AF,7712,1,inc,98.61111111111111,843.2083333333334
AF,7713,nan,con,95.83333333333334,611.7361111111111
AF,7713,nan,inc,95.83333333333334,680.6944444444445
AF,7714,1,con,88.88888888888889,540.1805555555555
AF,7714,1,inc,97.22222222222221,601.0972222222222
AF,7716,1,con,87.5,538.625
AF,7716,1,inc,94.44444444444444,614.25
AF,7717,nan,con,95.83333333333334,584.25
AF,7717,nan,inc,100.0,608.8055555555555
